name,region,season,tour_type,price,days,rating,attraction
Hạ Long Vịnh Biển,Bắc,Hè,Biển & Nghỉ dưỡng,220,3,4.6,9
Sapa Mùa Lúa,Bắc,Thu,Núi & Văn hóa,320,3,4.7,9
Ninh Bình Tràng An,Bắc,Xuân,Văn hóa & Sinh thái,250,2,4.5,8
Hà Giang Cao Nguyên Đá,Bắc,Thu,Phượt & Núi,280,3,4.4,9
Mộc Châu Mùa Mận,Bắc,Xuân,Núi & Nông nghiệp,250,2,4.2,7
Ba Bể Hồ Núi,Bắc,Xuân,Sinh thái,260,3,4.3,8
Cao Bằng Thác Bản Giốc,Bắc,Thu,Núi & Thác,290,3,4.5,9
Hạ Long Du Thuyền,Bắc,Hè,Biển & Nghỉ dưỡng,350,4,4.8,9
Sầm Sơn Nghỉ Dưỡng,Trung,Hè,Biển & Resort,210,2,4.0,7
Đà Nẵng Phố Biển,Trung,Hè,Biển & City break,310,3,4.8,8
Hội An Phố Cổ,Trung,Thu,Văn hóa,260,2,4.9,9
Huế Di Sản,Trung,Xuân,Văn hóa,270,3,4.7,8
Quảng Bình Hang Động,Trung,Xuân,Phiêu lưu,330,4,4.6,9
Quy Nhơn Biển Xanh,Trung,Hè,Biển & Khám phá,290,3,4.5,8
Sa Huỳnh Văn Hóa,Trung,Hè,Biển & Văn hóa,240,3,4.1,7
Buôn Ma Thuột Cà Phê,Trung,Thu,Núi & Văn hóa,260,3,4.2,8
Pleiku Biển Hồ,Trung,Thu,Núi & Văn hóa,270,3,4.0,7
Phú Quốc Nghỉ Dưỡng,Nam,Đông,Nghỉ dưỡng biển,480,4,4.8,9
Nha Trang Biển Xanh,Nam,Hè,Biển & Lặn biển,300,3,4.7,8
Đà Lạt Mộng Mơ,Nam,Quanh năm,Núi & Nghỉ dưỡng,340,4,4.8,9
Mũi Né Cát Trắng,Nam,Hè,Biển & Thể thao,270,3,4.3,8
Cần Thơ Chợ Nổi,Nam,Thu,Văn hóa sông nước,240,2,4.4,7
Vũng Tàu Cuối Tuần,Nam,Quanh năm,Biển & City break,220,2,4.1,7
Phan Thiết Resort,Nam,Hè,Nghỉ dưỡng biển,310,3,4.4,8
Côn Đảo Lịch Sử,Nam,Đông,Biển & Văn hóa,430,4,4.6,8
